"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []"
12.7,0.45,348.75186,98.75186,8429.73250144685
12.7,0.45,349.501864,99.501864,8360.0265951385
12.7,0.45,350.251868,100.251868,8289.18430631457
12.7,0.45,351.001872,101.001872,8230.47585120903
12.7,0.45,351.751876,101.751876,8081.39965643162
12.7,0.45,352.50188,102.50188,7950.98533356966
12.7,0.45,353.251884,103.251884,7816.21977617894
12.7,0.45,354.001888,104.001888,7681.45421878823
12.7,0.45,354.751892,104.751892,7546.68866139751
12.7,0.45,355.501896,105.501896,7356.20592481316
12.7,0.45,356.2519,106.2519,7169.14345494787
12.7,0.45,357.001904,107.001904,6955.88393285829
12.7,0.45,357.751908,107.751908,6781.97087192162
12.7,0.45,358.501912,108.501912,6555.76544002591
12.7,0.45,359.251916,109.251916,6329.5600081302
12.7,0.45,360.00192,110.00192,6102.61950567121
12.7,0.45,360.751924,110.751924,5878.36800262965
12.7,0.45,361.501928,111.501928,5630.99246823163
12.7,0.45,362.251932,112.251932,5372.84863007414
12.7,0.45,363.001936,113.001936,5130.18939766005
12.7,0.45,363.75194,113.75194,4897.31175178813
12.7,0.45,364.501944,114.501944,4649.37304182564
12.7,0.45,365.251948,115.251948,4410.10987077018
12.7,0.45,366.001952,116.001952,4176.04980363319
12.7,0.45,366.751956,116.751956,3940.55381981404
12.7,0.45,367.50196,117.50196,3703.31876564595
12.7,0.45,368.251964,118.251964,3491.80095341268
12.7,0.45,369.001968,119.001968,3280.28555681401
12.7,0.45,369.751972,119.751972,3079.64554167225
12.7,0.45,370.501976,120.501976,2872.73247732556
12.7,0.45,371.25198,121.25198,2698.0663765926
12.7,0.45,372.001984,122.001984,2523.40027585963
12.7,0.45,372.751988,122.751988,2348.73417512666
12.7,0.45,373.501992,123.501992,2207.23851684678
12.7,0.45,374.251996,124.251996,2056.14717334973
12.7,0.45,375.002,125.002,1892.54809411961
12.7,0.45,375.752004,125.752004,1771.60717630827
12.7,0.45,376.502008,126.502008,1660.8310445294
12.7,0.45,377.252012,127.252012,1550.05491275054
12.7,0.45,378.002016,128.002016,1439.27878097167
